순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,겨울왕국,2014-01-16,82461504400 ,0.098,10296101,1010,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)"
2,인터스텔라,2014-11-06,80671448300 ,0.096,10105249,1342,미국,"미국,영국",워너브러더스 코리아(주)
3,트랜스포머: 사라진 시대,2014-06-25,44012272845 ,0.052,5295801,1602,미국,미국,(주)씨제이이엔엠
4,엣지 오브 투모로우,2014-06-04,38731398201 ,0.046,4699208,801,미국,미국,워너브러더스 코리아(주)
5,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,34654558766 ,0.041,4313871,1056,미국,미국,이십세기폭스코리아(주)
6,어메이징 스파이더맨 2,2014-04-23,34869056800 ,0.042,4168350,1312,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
7,혹성탈출: 반격의 서막,2014-07-10,31514053095 ,0.038,4002560,922,미국,미국,이십세기폭스코리아(주)
8,캡틴 아메리카: 윈터 솔져,2014-03-26,31710585385 ,0.038,3963220,1106,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)"
9,비긴 어게인,2014-08-13,27098834504 ,0.032,3427524,213,미국,미국,판씨네마(주)
10,드래곤 길들이기 2,2014-07-23,23979935189 ,0.029,3000056,829,미국,미국,(주)씨제이이엔엠
11,메이즈 러너,2014-09-18,21489367677 ,0.026,2812427,648,미국,미국,이십세기폭스코리아(주)
12,호빗: 다섯 군대 전투,2014-12-17,21428483344 ,0.026,2509887,926,미국,"미국,뉴질랜드",워너브러더스 코리아(주)
13,논스톱,2014-02-27,16066174940 ,0.019,2084457,582,미국,"미국,프랑스",(주)넥스트엔터테인먼트월드(NEW)
14,인투 더 스톰,2014-08-28,16155930332 ,0.019,2078492,585,미국,미국,워너브러더스 코리아(주)
15,노아,2014-03-20,15514083500 ,0.018,2026574,952,미국,미국,(주)씨제이이엔엠
16,루시,2014-09-03,16468076039 ,0.02,1974893,641,미국,"미국,프랑스",유니버설픽쳐스인터내셔널 코리아(유)
17,나를 찾아줘,2014-10-23,14017716731 ,0.017,1764233,658,미국,미국,이십세기폭스코리아(주)
18,300: 제국의 부활,2014-03-06,13395159700 ,0.016,1593116,720,미국,미국,워너브러더스 코리아(주)
19,엑소더스: 신들과 왕들,2014-12-03,12442681926 ,0.015,1511195,865,미국,"미국,영국,스페인",이십세기폭스코리아(주)
20,말레피센트,2014-05-29,10776965900 ,0.013,1397526,554,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
21,폼페이: 최후의 날,2014-02-20,10303127700 ,0.012,1373873,561,미국,"미국,독일",롯데쇼핑㈜롯데엔터테인먼트
22,퓨리,2014-11-20,10367640686 ,0.012,1362114,590,미국,"미국,영국",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
23,드라큘라: 전설의 시작,2014-10-08,10607703908 ,0.013,1321751,477,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
24,가디언즈 오브 갤럭시,2014-07-31,11098239184 ,0.013,1311190,539,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
25,로보캅,2014-02-13,7299641958 ,0.009,979509,627,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
26,애나벨,2014-10-02,7083492943 ,0.008,926027,464,미국,미국,워너브러더스 코리아(주)
27,헝거게임: 모킹제이,2014-11-20,6400058044 ,0.008,854377,630,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
28,월터의 상상은 현실이 된다,2013-12-31,6134526799 ,0.007,834393,378,미국,미국,"글뫼 주식회사,이십세기폭스코리아(주)"
29,그랜드 부다페스트 호텔,2014-03-20,6014299982 ,0.007,773887,163,미국,"미국,독일","(주)피터팬픽쳐스,이십세기폭스코리아(주),월트디즈니컴퍼니코리아 유한책임회사"
30,리오 2,2014-05-01,5668239900 ,0.007,765713,598,미국,미국,이십세기폭스코리아(주)
31,"안녕, 헤이즐",2014-08-13,5833905000 ,0.007,749146,323,미국,미국,이십세기폭스코리아(주)
32,고질라,2014-05-15,5972847963 ,0.007,709734,610,미국,미국,워너브러더스 코리아(주)
33,트랜센던스,2014-05-14,5478201500 ,0.007,696412,417,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
34,타잔 3D,2014-01-09,4452845000 ,0.005,597142,527,독일,독일,(주)싸이더스
35,더 울프 오브 월스트리트,2014-01-09,4490682000 ,0.005,585082,395,미국,미국,주식회사 우리네트웍스
36,스텝 업: 올 인,2014-09-03,4337490134 ,0.005,564589,325,미국,미국,(주)나이너스엔터테인먼트
37,어바웃 타임,2013-12-05,4073560500 ,0.005,536186,568,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
38,눈의 여왕 2: 트롤의 마법거울,2014-12-24,3623421700 ,0.004,498320,479,러시아,러시아,씨네그루(주)다우기술
39,노예 12년,2014-02-27,3644201200 ,0.004,498004,326,미국,"미국,영국","판씨네마(주),(주)프레인글로벌"
40,엔더스 게임,2013-12-31,3695768000 ,0.004,487679,460,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
41,썬더와 마법저택,2013-12-24,3004330500 ,0.004,444848,422,벨기에,벨기에,(주)씨제이이엔엠
42,다이버전트,2014-04-16,3297709011 ,0.004,424041,511,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
43,주온 : 끝의 시작,2014-07-16,3071127231 ,0.004,410644,394,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
44,닌자터틀,2014-08-28,3321120147 ,0.004,400329,479,미국,미국,(주)씨제이이엔엠
45,명탐정 코난 : 이차원의 저격수,2014-08-06,2768375000 ,0.003,398606,299,일본,일본,(주)씨제이이엔엠
46,천재 강아지 미스터 피바디,2014-04-24,2859791400 ,0.003,385552,533,미국,미국,(주)씨제이이엔엠
47,그녀,2014-05-22,2858143500 ,0.003,350618,168,미국,미국,"주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유)"
48,선 오브 갓,2014-04-10,2393901800 ,0.003,329253,419,미국,미국,(주)프레인글로벌
49,잭 라이언 : 코드네임 쉐도우,2014-01-16,2395409500 ,0.003,327591,419,미국,"미국,러시아",(주)씨제이이엔엠
50,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",2014-01-09,2080468500 ,0.002,320409,406,일본,일본,(주)씨제이이엔엠
51,숲속으로,2014-12-24,2409562888 ,0.003,317406,356,미국,미국,월트디즈니컴퍼니코리아(주)
52,미녀와 야수,2014-06-18,2385847300 ,0.003,315348,387,프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW)
53,비행기 2: 소방구조대,2014-08-13,2246970700 ,0.003,311456,341,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
54,프랑켄슈타인: 불멸의 영웅,2014-02-06,2175466123 ,0.003,299205,378,미국,"미국,호주",(주)쇼박스
55,"러브, 로지",2014-12-10,2223782646 ,0.003,292177,379,영국,"영국,독일",(주)넥스트엔터테인먼트월드(NEW)
56,오큘러스,2014-05-29,2122466537 ,0.003,279488,336,미국,미국,씨네그루(주)다우기술
57,사랑에 대한 모든 것,2014-12-10,2124639846 ,0.003,273336,399,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
58,마야,2014-09-04,1952169200 ,0.002,265388,295,독일,"독일,호주",(주)박수엔터테인먼트
59,노벰버 맨,2014-10-16,1891131320 ,0.002,252444,395,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
60,툼스톤,2014-09-18,1875449247 ,0.002,242707,378,미국,미국,(주)인벤트스톤
61,창문 넘어 도망친 100세 노인,2014-06-18,1825931453 ,0.002,241132,300,스웨덴,스웨덴,(주)영화사 빅
62,그레이스 오브 모나코,2014-06-18,1752838200 ,0.002,237147,358,프랑스,"프랑스,미국,벨기에,이탈리아",(주)쇼박스
63,레고 무비,2014-02-06,1601300200 ,0.002,236129,317,미국,미국,워너브러더스 코리아(주)
