순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,캡틴 아메리카: 시빌 워,2016-04-27,72672111827 ,0.091,8677249,1991,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
2,닥터 스트레인지,2016-10-26,47481830396 ,0.059,5446239,1503,미국,미국,월트디즈니컴퍼니코리아(주)
3,주토피아,2016-02-17,37077444042 ,0.046,4703245,661,미국,미국,월트디즈니컴퍼니코리아(주)
4,신비한 동물사전,2016-11-16,39300515858 ,0.049,4662534,1431,미국,"미국,영국",워너브러더스 코리아(주)
5,쿵푸팬더3,2016-01-28,31340798156 ,0.039,3984812,1365,미국,미국,(주)씨제이이엔엠
6,데드풀,2016-02-17,27595618651 ,0.034,3317196,1036,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
7,나우 유 씨 미 2,2016-07-13,25116690113 ,0.031,3100113,1200,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
8,엑스맨: 아포칼립스,2016-05-25,24467887950 ,0.031,2938818,1262,미국,미국,이십세기폭스코리아(주)
9,미스 페레그린과 이상한 아이들의 집,2016-09-28,21841214586 ,0.027,2718158,904,미국,"미국,벨기에,영국",이십세기폭스코리아(주)
10,제이슨 본,2016-07-27,21253434663 ,0.026,2611966,827,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
11,도리를 찾아서,2016-07-06,20703899933 ,0.026,2601734,1091,미국,미국,월트디즈니컴퍼니코리아(주)
12,정글북,2016-06-09,21517513134 ,0.027,2537419,924,미국,미국,월트디즈니컴퍼니코리아(주)
13,마이펫의 이중생활,2016-08-03,19405636655 ,0.024,2520510,726,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
14,라라랜드,2016-12-07,19996139232 ,0.025,2385108,727,미국,미국,판씨네마(주)
15,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,18906246428 ,0.024,2256913,1709,미국,미국,워너브러더스 코리아(주)
16,레버넌트: 죽음에서 돌아온 자,2016-01-14,16107288130 ,0.02,2007180,967,미국,미국,이십세기폭스코리아(주)
17,컨저링 2,2016-06-09,15759374229 ,0.02,1928605,635,미국,미국,워너브러더스 코리아(주)
18,수어사이드 스쿼드,2016-08-03,15873106188 ,0.02,1898121,823,미국,미국,워너브러더스 코리아(주)
19,인디펜던스 데이 : 리써전스,2016-06-22,12770879840 ,0.016,1500830,926,미국,미국,이십세기폭스코리아(주)
20,벤허,2016-09-14,11410860395 ,0.014,1400301,717,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
21,굿 다이노,2016-01-07,9753434238 ,0.012,1328394,814,미국,미국,월트디즈니컴퍼니코리아(주)
22,셜록: 유령신부,2016-01-02,9992425049 ,0.012,1278894,891,영국,영국,플러스엠 엔터테인먼트
23,워크래프트: 전쟁의 서막,2016-06-09,10142271205 ,0.013,1163274,736,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
24,스타트렉 비욘드,2016-08-17,10190375820 ,0.013,1157156,716,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
25,라이트 아웃,2016-08-24,8893059975 ,0.011,1111284,659,미국,미국,워너브러더스 코리아(주)
26,씽,2016-12-21,8203857789 ,0.01,1063175,795,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
27,맨 인 더 다크,2016-10-05,8480368672 ,0.011,1003406,671,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
28,미 비포 유,2016-06-01,7662560490 ,0.01,944981,481,미국,미국,워너브러더스 코리아(주)
29,매그니피센트 7,2016-09-14,7633490421 ,0.01,921317,579,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
30,갓 오브 이집트,2016-03-03,7621291624 ,0.01,919834,618,미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트"
31,레전드 오브 타잔,2016-06-29,7196970717 ,0.009,858402,593,미국,미국,워너브러더스 코리아(주)
32,브리짓 존스의 베이비,2016-09-28,6678585874 ,0.008,820995,509,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
33,런던 해즈 폴른,2016-03-10,5908203979 ,0.007,731551,523,미국,"미국,영국",플러스엠 엔터테인먼트
34,인페르노,2016-10-19,5656281303 ,0.007,689071,754,미국,"미국,일본,터키,헝가리",유니버설픽쳐스인터내셔널 코리아(유)
35,앵그리버드 더 무비,2016-05-19,5218111744 ,0.007,680606,661,미국,"미국,핀란드",유니버설픽쳐스인터내셔널 코리아(유)
36,설리: 허드슨강의 기적,2016-09-28,5234170754 ,0.007,627102,573,미국,미국,워너브러더스 코리아(주)
37,잭 리처: 네버 고 백,2016-11-30,4638072258 ,0.006,611097,667,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
38,로그 원: 스타워즈 스토리,2016-12-28,5127537094 ,0.006,596487,907,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
39,싱 스트리트,2016-05-19,4488621672 ,0.006,560622,494,아일랜드,"아일랜드,영국,미국",(주)이수C&E
40,아이스 에이지: 지구 대충돌,2016-07-20,4092484600 ,0.005,553760,580,미국,미국,이십세기폭스코리아(주)
41,몬스터 호텔 2,2015-12-24,4059258691 ,0.005,552334,686,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
42,메카닉: 리크루트,2016-08-31,4458200800 ,0.006,551897,320,미국,"미국,프랑스",(주)제이앤씨미디어그룹
43,고스트버스터즈,2016-08-25,4116292075 ,0.005,515522,511,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
44,거울나라의 앨리스,2016-09-07,4145733267 ,0.005,513202,515,미국,미국,월트디즈니컴퍼니코리아(주)
45,명탐정 코난: 순흑의 악몽,2016-08-03,3765759500 ,0.005,508803,447,일본,일본,(주)씨제이이엔엠
46,스타워즈: 깨어난 포스,2015-12-17,4204317791 ,0.005,470645,940,미국,미국,월트디즈니컴퍼니코리아(주)
47,빅쇼트,2016-01-21,3622268707 ,0.005,446664,489,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
48,헌츠맨: 윈터스 워,2016-04-13,3544262706 ,0.004,445009,557,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
49,나의 소녀시대,2016-05-12,3292417500 ,0.004,406353,176,대만,대만,오드
50,언더 워터,2016-07-13,3111772391 ,0.004,384789,518,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
51,클로버필드 10번지,2016-04-07,2928428655 ,0.004,357736,575,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
52,위자: 저주의 시작,2016-11-09,2637517406 ,0.003,331877,467,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
53,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-20,2466913080 ,0.003,330665,403,일본,일본,(주)씨제이이엔엠
