순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,부산행,2016-07-20,93178283048 ,0.1,11565479,1788,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,검사외전,2016-02-03,77319445264 ,0.083,9707158,1812,한국,한국,(주)쇼박스
3,밀정,2016-09-07,61269783831 ,0.066,7500420,1444,한국,"한국,미국",워너브러더스 코리아(주)
4,터널,2016-08-10,57529484417 ,0.062,7120508,1105,한국,한국,(주)쇼박스
5,인천상륙작전,2016-07-27,55101410303 ,0.059,7049643,1049,한국,한국,(주)씨제이이엔엠
6,럭키,2016-10-13,56444461256 ,0.061,6975290,1158,한국,한국,(주)쇼박스
7,곡성,2016-05-12,55863520382 ,0.06,6879908,1485,한국,"한국,미국",이십세기폭스코리아(주)
8,덕혜옹주,2016-08-03,44393828109 ,0.048,5599229,964,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
9,마스터,2016-12-21,39784641065 ,0.043,4935320,1501,한국,한국,(주)씨제이이엔엠
10,판도라,2016-12-07,33955398164 ,0.037,4313864,1166,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,아가씨,2016-06-01,35211229991 ,0.038,4287839,1171,한국,한국,(주)씨제이이엔엠
12,귀향,2016-02-24,27248705990 ,0.029,3586929,876,한국,한국,(주)와우픽쳐스
13,형,2016-11-23,23113768293 ,0.025,2979659,993,한국,한국,(주)씨제이이엔엠
14,히말라야,2015-12-16,20703807567 ,0.022,2630064,1009,한국,한국,(주)씨제이이엔엠
15,아수라,2016-09-28,20576226662 ,0.022,2594028,1278,한국,한국,(주)씨제이이엔엠
16,굿바이 싱글,2016-06-29,16912706195 ,0.018,2108273,841,한국,한국,(주)쇼박스
17,봉이 김선달,2016-07-06,16227052642 ,0.018,2051277,942,한국,한국,(주)씨제이이엔엠
18,내부자들: 디 오리지널,2015-12-31,15737097560 ,0.017,1923851,838,한국,한국,(주)쇼박스
19,탐정 홍길동: 사라진 마을,2016-05-04,11514389845 ,0.012,1430666,764,한국,한국,(주)씨제이이엔엠
20,특별수사: 사형수의 편지,2016-06-16,9929947065 ,0.011,1241899,691,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
