순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,명량,2014-07-30,135748398910 ,0.166,17613682,1587,한국,한국,(주)씨제이이엔엠
2,해적: 바다로 간 산적,2014-08-06,66370682706 ,0.081,8666046,838,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
3,수상한 그녀,2014-01-22,62696639249 ,0.077,8656397,692,한국,한국,(주)씨제이이엔엠
4,변호인,2013-12-18,41918320800 ,0.051,5687558,923,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
5,국제시장,2014-12-17,41089576596 ,0.05,5345678,966,한국,한국,(주)씨제이이엔엠
6,군도: 민란의 시대,2014-07-23,36987755999 ,0.045,4774895,1394,한국,한국,(주)쇼박스
7,타짜-신의 손,2014-09-03,32373120927 ,0.04,4015361,890,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스"
8,역린,2014-04-30,29893297890 ,0.036,3849433,1054,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
9,"님아, 그 강을 건너지 마오",2014-11-27,29845829479 ,0.036,3846378,206,한국,한국,"CGV아트하우스,(주)대명문화공장"
10,신의 한 수,2014-07-03,28810921456 ,0.035,3566336,794,한국,한국,(주)쇼박스
11,끝까지 간다,2014-05-29,27007303900 ,0.033,3450305,645,한국,한국,(주)쇼박스
12,표적,2014-04-30,22256359300 ,0.027,2841788,665,한국,한국,(주)씨제이이엔엠
13,나의 사랑 나의 신부,2014-10-08,16636404305 ,0.02,2141155,629,한국,한국,씨네그루(주)다우기술
14,남자가 사랑할 때,2014-01-22,14510222300 ,0.018,1979311,531,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
15,용의자,2013-12-24,14407668500 ,0.018,1954496,807,한국,한국,(주)쇼박스
16,기술자들,2014-12-24,13652480148 ,0.017,1778083,641,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
17,제보자,2014-10-02,13515762802 ,0.017,1755181,676,한국,한국,플러스엠 엔터테인먼트
18,피끓는 청춘,2014-01-22,11688382888 ,0.014,1676040,679,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
19,두근두근 내 인생,2014-09-03,12291081634 ,0.015,1624601,629,한국,한국,(주)씨제이이엔엠
20,우아한 거짓말,2014-03-13,11727360300 ,0.014,1618988,555,한국,한국,CGV아트하우스
21,해무(海霧),2014-08-13,11706502519 ,0.014,1475472,584,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
22,인간중독,2014-05-14,11284787400 ,0.014,1441964,682,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
23,찌라시: 위험한 소문,2014-02-20,9111648087 ,0.011,1221420,560,한국,한국,(주)씨제이이엔엠
24,빅매치,2014-11-27,8952096578 ,0.011,1177438,627,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
25,슬로우 비디오,2014-10-02,8913092219 ,0.011,1169562,618,한국,한국,이십세기폭스코리아(주)
26,방황하는 칼날,2014-04-10,7828526800 ,0.01,989881,594,한국,한국,(주)씨제이이엔엠
27,우리는 형제입니다,2014-10-23,7263255399 ,0.009,970373,566,한국,한국,(주)쇼박스
28,카트,2014-11-13,5912676633 ,0.007,812490,544,한국,한국,(주)리틀빅픽쳐스
29,관능의 법칙,2014-02-13,5858771500 ,0.007,781516,591,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
30,상의원,2014-12-24,5293724564 ,0.006,676632,466,한국,한국,"(주)쇼박스,(주)와우픽쳐스"
31,플랜맨,2014-01-09,4528561558 ,0.006,632299,458,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
32,우는 남자,2014-06-04,4923607800 ,0.006,603409,508,한국,한국,(주)씨제이이엔엠
33,패션왕,2014-11-06,4367545379 ,0.005,594871,523,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
34,황제를 위하여,2014-06-11,4753511771 ,0.006,592367,423,한국,한국,유나이티드픽처스(주)
35,몬스터,2014-03-13,4138057515 ,0.005,526547,527,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
36,또 하나의 약속,2014-02-06,3528892400 ,0.004,496937,192,한국,한국,영화사올(주)
37,소녀괴담,2014-07-02,3554806054 ,0.004,481696,455,한국,한국,(주)리틀빅픽쳐스
38,조선미녀삼총사,2014-01-29,3471341321 ,0.004,480361,388,한국,한국,(주)쇼박스
39,넛잡: 땅콩 도둑들,2014-01-29,3280608100 ,0.004,478392,382,한국,"한국,캐나다,미국",(주)싸이더스
40,마담 뺑덕,2014-10-02,3728956590 ,0.005,471169,536,한국,한국,(주)씨제이이엔엠
41,신이 보낸 사람,2014-02-13,3068195600 ,0.004,424258,285,한국,한국,"주식회사 마운틴픽쳐스,(주)마인스 엔터테인먼트"
42,좋은 친구들,2014-07-10,3221841031 ,0.004,407210,371,한국,한국,(주)씨제이이엔엠
43,나의 독재자,2014-10-30,2906692546 ,0.004,385934,654,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
44,하이힐,2014-06-03,2749906500 ,0.003,341606,385,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
45,레드카펫,2014-10-23,2405669580 ,0.003,316953,385,한국,한국,(주)프레인글로벌
46,한공주,2014-04-17,1783518800 ,0.002,224808,226,한국,한국,CGV아트하우스
47,덕수리 5형제,2014-12-04,1590807200 ,0.002,210777,346,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
48,아빠를 빌려드립니다,2014-11-20,1190329500 ,0.001,172652,326,한국,한국,"플러스엠 엔터테인먼트,(주)레드로버"
49,가시,2014-04-10,1095301000 ,0.001,142170,356,한국,한국,(주)인벤트스톤
50,맨홀,2014-10-08,1084557130 ,0.001,133663,286,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
51,도희야,2014-05-22,830948100 ,0.001,106511,310,한국,한국,CGV아트하우스
52,집으로 가는 길,2013-12-11,675180000 ,0.001,91394,740,한국,한국,(주)씨제이이엔엠
53,살인자,2014-01-15,656849000 ,0.001,88199,207,한국,한국,(주)영화사 빅
54,터널 3D,2014-08-20,620874000 ,0.001,80989,264,한국,한국,(주)박수엔터테인먼트
55,정글히어로,2014-10-02,511579300 ,0.001,72047,287,한국,한국,(주)씨제이이엔엠
56,경주,2014-06-12,473094500 ,0.001,63456,318,한국,한국,(주)인벤트스톤
57,다이빙벨,2014-10-23,335604500 ,0,48492,20,한국,한국,(주)시네마달
58,"제자, 옥한흠",2014-10-30,355731200 ,0,48460,25,한국,한국,주식회사 마운틴픽쳐스
59,내 연애의 기억,2014-08-20,358863117 ,0,46775,182,한국,한국,주식회사 디에스이이디
60,족구왕,2014-08-21,359336000 ,0,45649,58,한국,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
61,설계,2014-09-18,347188800 ,0,45638,257,한국,한국,(주)팝엔터테인먼트
62,우리별 일호와 얼룩소,2014-02-20,290485500 ,0,43888,209,한국,한국,(주)인디플러그
63,개를 훔치는 완벽한 방법,2014-12-31,308655900 ,0,42892,205,한국,한국,"(주)리틀빅픽쳐스,(주)대명문화공장"
64,자유의 언덕,2014-09-04,308958827 ,0,38078,46,한국,한국,"(주)영화제작전원사 ,(주)영화사 조제"
65,백프로,2014-04-03,284106600 ,0,37909,236,한국,한국,(주)마인스 엔터테인먼트
66,만신,2014-03-06,270951300 ,0,36014,88,한국,한국,(주)엣나인필름
67,목숨,2014-12-04,274236100 ,0,35665,97,한국,한국,필라멘트픽쳐스
68,"메밀꽃, 운수 좋은 날, 그리고 봄봄",2014-08-21,221122200 ,0,33905,37,한국,한국,이달투
69,쥬로링 동물탐정 극장판,2014-12-18,175451100 ,0,24977,188,한국,"한국,일본",롯데쇼핑㈜롯데엔터테인먼트
70,GROW: 인피니트의 리얼 청춘 라이프,2014-12-04,189409200 ,0,23865,71,한국,한국,골든타이드픽처스(주)
71,고스트 메신저 극장판,2014-05-22,184033000 ,0,23721,81,한국,한국,에이원엔터테인먼트
72,거인,2014-11-13,175333400 ,0,23153,77,한국,한국,필라멘트픽쳐스
73,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,2014-08-07,144062800 ,0,21939,91,한국,한국,플러스엠 엔터테인먼트
74,60만번의 트라이,2014-09-18,147541300 ,0,21239,76,한국,"한국,일본",㈜인디스토리
75,그 사람 그 사랑 그 세상,2014-11-20,153085500 ,0,20868,55,한국,한국,"THE 픽쳐스,(주)팝엔터테인먼트"
76,누구에게나 찬란한,2014-11-06,136184900 ,0,19865,51,한국,한국,CGV아트하우스
77,스톤,2014-06-12,121122400 ,0,18061,148,한국,한국,씨너스엔터테인먼트(주)
78,더 테너 리리코 스핀토,2014-12-31,131364200 ,0,17870,185,한국,한국,"(주)박수엔터테인먼트,(주)모인그룹"
79,산타바바라,2014-07-16,125565919 ,0,16626,101,한국,"한국,미국",(주)나이너스엔터테인먼트
80,쿼바디스,2014-12-10,112982900 ,0,14890,15,한국,한국,"주식회사 단유필름,주식회사 푸르모디티"
81,봄,2014-11-20,111094100 ,0,14780,112,한국,한국,필라멘트픽쳐스
82,캐치미,2013-12-18,103029500 ,0,13692,517,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
83,그 사람 추기경,2014-08-06,93712100 ,0,13449,43,한국,한국,주식회사 마운틴픽쳐스
84,조난자들,2014-03-06,101958500 ,0,13190,46,한국,한국,(주)씨제이이엔엠
85,시선,2014-04-16,92023000 ,0,12950,112,한국,한국,(주)나이너스엔터테인먼트
86,현기증,2014-11-06,79449300 ,0,11785,71,한국,한국,플러스엠 엔터테인먼트
87,곤충왕국 3D,2014-08-14,84825300 ,0,11263,39,한국,한국,골든타이드픽처스(주)
88,일대일,2014-05-22,78745100 ,0,10141,53,한국,한국,(주)김기덕 필름
89,신화 라이브 3D 더 레전드 컨티뉴스,2014-12-11,114524000 ,0,9817,29,한국,한국,골든타이드픽처스(주)
90,두 아내,2014-03-17,8695000 ,0,9814,2,한국,한국,(유)조이앤컨텐츠그룹
91,한 번도 안 해본 여자,2014-01-16,71166500 ,0,9469,66,한국,한국,(주)팝엔터테인먼트
92,메이크 유어 무브,2014-04-17,73741600 ,0,9368,96,한국,"한국,미국",(주)씨제이이엔엠
93,야간비행,2014-08-28,72926100 ,0,9157,45,한국,한국,(주)엣나인필름
94,블랙딜,2014-07-03,61590200 ,0,8909,74,한국,한국,(주)인디플러그
95,마녀,2014-09-11,65512100 ,0,8144,61,한국,한국,CGV아트하우스
96,"의궤, 8일간의 축제 3D",2014-04-17,45334000 ,0,7956,16,한국,한국,"케이비에스미디어(주),KBS 미디어"
97,좀비스쿨,2014-06-19,62432000 ,0,7721,54,한국,한국,(주)박수엔터테인먼트
98,배꼽과 무릎사이,2014-05-22,49524000 ,0,7438,20,한국,한국,스크린조이
99,잉여들의 히치하이킹,2013-11-28,48332300 ,0,7115,31,한국,한국,CGV아트하우스
100,논픽션 다이어리,2014-07-17,45649424 ,0,6011,28,한국,한국,(주)영화사 진진
101,탐욕의 제국,2014-03-06,35337400 ,0,5594,19,한국,한국,(주)시네마달
102,스퀴시랜드,2014-06-04,38111300 ,0,5473,55,한국,한국,(주)인벤트스톤
103,신촌좀비만화,2014-05-15,51525700 ,0,5187,46,한국,한국,(주)씨제이이엔엠
104,맛,2014-01-16,13822000 ,0,5021,19,한국,한국,(주)스크린다
105,울언니,2014-12-04,25602000 ,0,4780,10,한국,한국,(주)팝엔터테인먼트
106,밀애,2014-07-24,16206000 ,0,4770,19,한국,한국,(주)레몬트리픽쳐스
107,제4 이노베이터,2014-12-18,32954000 ,0,4555,10,한국,한국,삼라 주식회사
108,슬기로운 해법,2014-05-15,30625600 ,0,4496,18,한국,한국,(주)시네마달
109,셔틀콕,2014-04-24,33251855 ,0,4326,31,한국,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
110,야누스: 욕망의 두 얼굴,2014-08-14,20193000 ,0,4122,20,한국,한국,(주)미디어데이
111,아버지의 이메일,2014-04-24,27421400 ,0,4014,21,한국,한국,㈜인디스토리
112,"1789, 바스티유의 연인들",2014-09-18,68088500 ,0,4013,35,한국,한국,유니버설픽쳐스인터내셔널 코리아(유)
113,하이프 네이션 : 힙합사기꾼,2014-01-16,20421000 ,0,3996,10,한국,한국,(주)인벤트스톤
114,다우더,2014-11-06,27279800 ,0,3788,41,한국,한국,어뮤즈
115,청춘학당 : 풍기문란 보쌈 야사,2014-03-27,26637900 ,0,3772,57,한국,한국,(주)박수엔터테인먼트
116,옹녀뎐,2014-08-21,10197000 ,0,3765,21,한국,한국,(주)소나무픽쳐스
117,위층여자,2014-10-29,18962000 ,0,3739,20,한국,한국,노바엔터테인먼트
118,순천,2014-09-04,22738200 ,0,3562,5,한국,한국,(주)인디플러그
119,가자! 장미여관으로 2 - 갈증,2014-04-10,14471000 ,0,3534,20,한국,한국,(주)에이블엔터테인먼트
120,마이 보이,2014-04-10,22384800 ,0,3338,34,한국,한국,(주)트리필름
121,무명인,2014-05-29,25063600 ,0,3199,51,한국,"한국,일본",롯데쇼핑㈜롯데엔터테인먼트
122,10분,2014-04-24,24284400 ,0,3158,23,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
123,바세코의 아이들,2014-08-14,18790500 ,0,3150,7,한국,한국,주식회사 마운틴픽쳐스
124,소리굽쇠,2014-10-30,24048800 ,0,3051,46,한국,한국,(주)씨제이이엔엠
125,그댄 나의 뱀파이어,2014-06-12,22393000 ,0,3048,13,한국,한국,주식회사 마운틴픽쳐스
126,이것이 우리의 끝이다,2014-06-26,21283800 ,0,2898,25,한국,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
127,원나잇 온리,2014-07-03,21813300 ,0,2886,18,한국,한국,(주)레인보우팩토리
128,레디액션 청춘,2014-11-13,22317300 ,0,2855,22,한국,한국,(주)인벤트스톤
129,여배우 공작단,2014-06-19,15839000 ,0,2729,21,한국,한국,(주)케이알씨지
130,여배우는 너무해,2014-02-27,19836400 ,0,2673,42,한국,한국,(주)인벤트스톤
131,사토미를 찾아라,2014-10-16,13164000 ,0,2595,20,한국,한국,브릿지웍스 엔터테인먼트(주)
132,워킹걸,2015-01-07,18076000 ,0,2369,308,한국,한국,플러스엠 엔터테인먼트
133,마이 플레이스,2014-01-30,16589800 ,0,2349,21,한국,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
134,못,2014-11-20,16675600 ,0,2329,18,한국,한국,주식회사 마운틴픽쳐스
135,"시바, 인생을 던져",2013-12-19,16869000 ,0,2306,5,한국,"한국,인도",(주)인디플러그
136,정사,2014-10-30,6761000 ,0,2283,20,한국,한국,(주)소나무픽쳐스
137,블랙 가스펠,2013-11-14,15539000 ,0,2196,143,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
138,관계,2014-08-27,10652000 ,0,2146,19,한국,한국,브릿지웍스 엔터테인먼트(주)
139,레쓰링,2014-09-11,16073000 ,0,2116,33,한국,한국,(주)박수엔터테인먼트
140,하늘의 황금마차,2014-09-04,15444300 ,0,2079,30,한국,한국,(주)영화사 진진
141,먹이사슬,2014-09-17,10224000 ,0,2070,20,한국,한국,노바엔터테인먼트
142,학교 가는길,2014-11-27,12702000 ,0,2041,22,한국,한국,주식회사 마운틴픽쳐스
143,결혼전야,2013-11-21,10162000 ,0,1993,524,한국,한국,씨너스엔터테인먼트(주)
144,숫호구,2014-08-07,15138500 ,0,1954,14,한국,한국,(주)엣나인필름
145,만찬,2014-01-23,12932000 ,0,1877,20,한국,한국,㈜인디스토리
146,오빠가 돌아왔다,2014-03-20,12514000 ,0,1861,12,한국,한국,주식회사 마운틴픽쳐스
147,로사,2014-05-29,11893000 ,0,1816,7,한국,한국,와이드 릴리즈(주)
148,들개,2014-04-03,13677700 ,0,1778,3,한국,한국,CGV아트하우스
149,파티51,2014-12-11,12749400 ,0,1708,9,한국,한국,㈜인디스토리
150,그 참을 수 없는 맛,2014-07-09,8138000 ,0,1697,21,한국,한국,(주)케이알씨지
151,녀녀녀,2014-04-10,8231000 ,0,1694,20,한국,한국,골든타이드픽처스(주)
152,나는 야한 여자가 좋다,2014-07-10,8095000 ,0,1688,21,한국,한국,(주)케이알씨지
153,들개들,2014-01-23,9795500 ,0,1617,7,한국,한국,골든타이드픽처스(주)
154,비밀과외,2014-02-13,2485000 ,0,1590,5,한국,한국,(주)케이알씨지
155,친구 2,2013-11-14,9450000 ,0,1575,968,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
156,바리새인,2014-09-25,8908000 ,0,1565,20,한국,한국,(유)영화사 화수분
157,열애,2014-07-23,7470000 ,0,1564,20,한국,한국,(주)케이알씨지
158,중독애,2014-07-16,7495000 ,0,1547,20,한국,한국,(주)케이알씨지
159,가자! 장미여관으로 3 - 방황,2014-10-08,7183000 ,0,1529,20,한국,한국,(주)케이알씨지
160,스케치,2014-03-27,10690500 ,0,1483,22,한국,한국,브릿지웍스 엔터테인먼트(주)
161,레바논 감정,2014-02-27,10176400 ,0,1393,14,한국,한국,어뮤즈
162,철의 꿈,2014-11-13,10206700 ,0,1386,9,한국,한국,(주)영화사 진진
