순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,남산의 부장들,2020-01-22,41223596650 ,0.118,4750104,1659,한국,한국,(주)쇼박스
2,다만 악에서 구하소서,2020-08-05,38602260990 ,0.11,4357803,1998,한국,한국,(주)씨제이이엔엠
3,반도,2020-07-15,33072531280 ,0.095,3812250,2575,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
4,히트맨,2020-01-22,20614278000 ,0.059,2406232,1122,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
5,백두산,2019-12-19,16919576530 ,0.048,1962167,1971,한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
6,#살아있다,2020-06-24,15965329900 ,0.046,1903703,1882,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
7,강철비2: 정상회담,2020-07-29,14655366110 ,0.042,1790797,2137,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
8,담보,2020-09-29,14748867550 ,0.042,1719521,1342,한국,한국,(주)씨제이이엔엠
9,삼진그룹 영어토익반,2020-10-21,13981414470 ,0.04,1571286,1615,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
10,정직한 후보,2020-02-12,12834858530 ,0.037,1535630,1187,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,도굴,2020-11-04,13764680410 ,0.039,1523514,1635,한국,한국,(주)씨제이이엔엠
12,클로젯,2020-02-05,10971962280 ,0.031,1270835,1197,한국,한국,(주)씨제이이엔엠
13,오케이 마담,2020-08-12,10979887910 ,0.031,1228685,1288,한국,한국,플러스엠 엔터테인먼트
14,해치지않아,2020-01-15,10154099090 ,0.029,1209689,1216,한국,한국,(주)에이스메이커무비웍스
15,천문: 하늘에 묻는다,2019-12-26,8694300070 ,0.025,1034866,1198,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
16,결백,2020-06-10,7859629340 ,0.022,894025,1112,한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
17,시동,2019-12-18,6862456560 ,0.02,791052,1515,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
18,지푸라기라도 잡고 싶은 짐승들,2020-02-19,5445594750 ,0.016,627247,996,한국,한국,플러스엠 엔터테인먼트
19,미스터 주: 사라진 VIP,2020-01-22,5057108660 ,0.014,601675,692,한국,한국,"플러스엠 엔터테인먼트,(주)리틀빅픽쳐스"
20,국제수사,2020-09-29,4496603760 ,0.013,537470,1074,한국,한국,(주)쇼박스
21,침입자,2020-06-04,4810611000 ,0.014,532045,1365,한국,한국,(주)에이스메이커무비웍스
22,이웃사촌,2020-11-25,3647897960 ,0.01,424764,1363,한국,한국,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스"
23,소리도 없이,2020-10-15,3558905900 ,0.01,403424,1084,한국,한국,(주)에이스메이커무비웍스
24,오! 문희,2020-09-02,2802734600 ,0.008,351730,1110,한국,한국,CGV아트하우스
25,내가 죽던 날,2020-11-12,2135396020 ,0.006,233112,909,한국,한국,워너브러더스 코리아(주)
26,기생충,2019-05-30,1575865450 ,0.005,227811,1948,한국,한국,(주)씨제이이엔엠
27,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,1746167940 ,0.005,221099,841,한국,한국,(주)씨제이이엔엠
28,검객,2020-09-23,1619781870 ,0.005,190237,832,한국,한국,"(주)키위미디어그룹,오퍼스픽쳐스(유),(주)씨네필운"
29,조제,2020-12-10,1673427570 ,0.005,186647,1179,한국,한국,워너브러더스 코리아(주)
30,사라진 시간,2020-06-18,1652466580 ,0.005,185795,874,한국,한국,(주)에이스메이커무비웍스
31,미스터트롯: 더 무비,2020-10-22,1288696100 ,0.004,150090,449,한국,한국,(주)영화사 그램
32,브레이크 더 사일런스: 더 무비,2020-09-24,1160249000 ,0.003,131693,205,한국,한국,CGV ICECON
33,디바,2020-09-23,901717350 ,0.003,108122,831,한국,한국,플러스엠 엔터테인먼트
34,저 산 너머,2020-04-30,772685300 ,0.002,103534,468,한국,한국,(주)리틀빅픽쳐스
35,기기괴괴 성형수,2020-09-09,873204560 ,0.002,103426,276,한국,한국,(주)트리플픽쳐스
36,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2020-09-29,3129974000 ,0.009,102008,106,한국,한국,씨제이포디플렉스 주식회사
37,죽지않는 인간들의 밤,2020-09-29,841097440 ,0.002,101726,570,한국,한국,TCO(주)더콘텐츠온
38,소리꾼,2020-07-01,668689680 ,0.002,82313,573,한국,한국,(주)리틀빅픽쳐스
39,극장판 미니특공대: 공룡왕 디노,2020-02-06,620860720 ,0.002,79772,485,한국,한국,(주)리틀빅픽쳐스
40,호텔 레이크,2020-04-29,592223200 ,0.002,70019,465,한국,한국,(주)스마일이엔티
41,극장판 미니특공대: 햄버거괴물의 습격,2020-09-30,465849080 ,0.001,57857,414,한국,한국,(주)리틀빅픽쳐스
42,아이즈 온 미 : 더 무비,2020-06-10,506274000 ,0.001,39228,124,한국,한국,씨제이포디플렉스 주식회사
43,다만 악에서 구하소서 파이널컷,2020-10-28,326106570 ,0.001,37961,475,한국,한국,(주)씨제이이엔엠
44,야구소녀,2020-06-18,316405720 ,0.001,36986,264,한국,한국,"(주)싸이더스,찬란"
45,서치 아웃,2020-04-15,297167000 ,0.001,34115,355,한국,한국,"(주)스톰픽쳐스코리아,(주)삼백상회"
46,부활: 그 증거,2020-10-08,239069820 ,0.001,29380,111,한국,한국,(주)영화사 진진
47,찬실이는 복도 많지,2020-03-05,246971830 ,0.001,28721,241,한국,한국,찬란
48,애비규환,2020-11-12,206974800 ,0.001,22743,453,한국,한국,(주)리틀빅픽쳐스
49,아홉 스님,2020-05-27,137625200 ,0,22330,141,한국,한국,"(주)퍼스트런,(주)키다리이엔티"
50,남매의 여름밤,2020-08-20,177434602 ,0.001,21296,133,한국,한국,그린나래미디어(주)
51,유령선,2020-04-15,181933920 ,0.001,20784,165,한국,한국,(주)엣나인필름
52,울지마 톤즈 2 : 슈크란 바바,2020-01-09,144149940 ,0,19632,232,한국,한국,(주)영화특별시에스엠씨
53,추억의 검정고무신,2020-11-19,156845100 ,0,19531,215,한국,한국,(주)대교 미디어콘텐츠사업본부
54,강철비2 : 정상회담 확장판,2020-09-30,89922500 ,0,18306,126,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
55,프랑스여자,2020-06-04,130139400 ,0,18207,244,한국,한국,"(주)디스테이션,롯데컬처웍스(주)롯데엔터테인먼트"
