순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,스파이더맨: 홈 커밍,2017-07-05,59125813820 ,0.07,7258678,1965,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2,미녀와 야수,2017-03-16,42132589579 ,0.05,5138193,1627,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,킹스맨: 골든 서클,2017-09-27,40987484736 ,0.049,4945484,1687,미국,"미국,영국",이십세기폭스코리아(주)
4,토르: 라그나로크,2017-10-25,39227691395 ,0.046,4853778,1640,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,미이라,2017-06-06,30504689978 ,0.036,3689325,1257,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
6,분노의 질주: 더 익스트림,2017-04-12,29981156348 ,0.035,3653238,1469,미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
7,너의 이름은.,2017-01-04,29248867156 ,0.035,3637122,947,일본,일본,플러스엠 엔터테인먼트
8,슈퍼배드 3,2017-07-26,24216987019 ,0.029,3324861,1057,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
9,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,24975495122 ,0.03,3049894,1357,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,덩케르크,2017-07-20,24550541348 ,0.029,2788732,1252,미국,"미국,영국",워너브러더스 코리아(주)
11,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,23452686686 ,0.028,2735721,1218,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,트랜스포머: 최후의 기사,2017-06-21,21501959228 ,0.025,2614601,1739,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
13,보스 베이비,2017-05-03,18934037704 ,0.022,2451919,1116,미국,미국,(주)씨제이이엔엠
14,모아나,2017-01-12,18055062307 ,0.021,2310054,953,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
15,로건,2017-03-01,18391060223 ,0.022,2169109,954,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
16,원더 우먼,2017-05-31,17468588886 ,0.021,2165401,1034,미국,미국,워너브러더스 코리아(주)
17,겟 아웃,2017-05-17,17431570075 ,0.021,2138146,945,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
18,혹성탈출: 종의 전쟁,2017-08-15,16854482778 ,0.02,2051315,1017,미국,미국,이십세기폭스코리아(주)
19,애나벨 : 인형의 주인,2017-08-10,15526858738 ,0.018,1934192,1006,미국,미국,워너브러더스 코리아(주)
20,저스티스 리그,2017-11-15,14629677795 ,0.017,1786383,1308,미국,미국,워너브러더스 코리아(주)
21,킬러의 보디가드,2017-08-30,14020395800 ,0.017,1721757,482,미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
22,콩: 스컬 아일랜드,2017-03-08,13990563383 ,0.017,1689717,984,미국,미국,워너브러더스 코리아(주)
23,23 아이덴티티,2017-02-22,13609456135 ,0.016,1675798,952,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
24,해피 데스데이,2017-11-08,11004455402 ,0.013,1382650,714,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
25,에이리언: 커버넌트,2017-05-09,10745826264 ,0.013,1307226,841,미국,"미국,호주,뉴질랜드",이십세기폭스코리아(주)
26,라라랜드,2016-12-07,9822110162 ,0.012,1185287,727,미국,미국,판씨네마(주)
27,지오스톰,2017-10-19,8480864614 ,0.01,1028384,854,미국,미국,워너브러더스 코리아(주)
28,스타워즈: 라스트 제다이,2017-12-14,8535886061 ,0.01,946547,1107,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
29,그것,2017-09-06,7335022607 ,0.009,888836,837,미국,미국,워너브러더스 코리아(주)
30,오리엔트 특급 살인,2017-11-29,6636205163 ,0.008,863567,707,미국,미국,이십세기폭스코리아(주)
31,베이비 드라이버,2017-09-14,6698892214 ,0.008,822656,778,영국,영국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
32,위대한 쇼맨,2017-12-20,6657039200 ,0.008,814587,702,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
33,레지던트 이블: 파멸의 날,2017-01-25,6422202365 ,0.008,765259,599,미국,"미국,독일,호주,캐나다,프랑스",유니버설픽쳐스인터내셔널 코리아(유)
34,공각기동대 : 고스트 인 더 쉘,2017-03-29,6285970884 ,0.007,764072,807,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
35,트롤,2017-02-16,5011161500 ,0.006,675966,622,미국,미국,(주)씨제이이엔엠
36,패신저스,2017-01-04,5467466918 ,0.006,668576,608,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
37,씽,2016-12-21,5061667600 ,0.006,667513,795,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
38,컨택트,2017-02-02,5214551521 ,0.006,634150,605,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
39,47 미터,2017-07-19,4686022657 ,0.006,590036,733,영국,영국,(주)키다리이엔티
40,메리와 마녀의 꽃,2017-12-07,4064280239 ,0.005,535331,751,일본,일본,CGV아트하우스
41,얼라이드,2017-01-11,4278041179 ,0.005,518886,546,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
42,발레리안: 천 개 행성의 도시,2017-08-30,4047756408 ,0.005,511931,629,프랑스,프랑스,판씨네마(주)
43,그레이트 월,2017-02-15,4355441358 ,0.005,501486,598,미국,"미국,중국",유니버설픽쳐스인터내셔널 코리아(유)
44,카3: 새로운 도전,2017-07-13,3599544501 ,0.004,487916,800,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
45,트리플 엑스 리턴즈,2017-02-08,3967335095 ,0.005,475309,590,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
46,너의 췌장을 먹고 싶어,2017-10-25,3703660800 ,0.004,465265,218,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
47,라이프,2017-04-05,3791748210 ,0.004,459984,647,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
48,명탐정 코난:진홍의 연가,2017-08-02,3268917200 ,0.004,450043,582,일본,일본,(주)씨제이이엔엠
49,히든 피겨스,2017-03-23,3580767033 ,0.004,449518,448,미국,미국,이십세기폭스코리아(주)
50,스머프: 비밀의 숲,2017-04-28,3122661000 ,0.004,427764,607,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
51,로그 원: 스타워즈 스토리,2016-12-28,3920458500 ,0.005,422822,907,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
52,킹 아서: 제왕의 검,2017-05-17,3373678655 ,0.004,415714,588,영국,"영국,호주,미국",워너브러더스 코리아(주)
53,극장판 포켓몬스터 너로 정했다!,2017-12-21,3117529700 ,0.004,415255,626,일본,일본,(주)이수C&E
