순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,엘리멘탈,2023-06-14,71120500040 ,0.111,7238453,1251,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,스즈메의 문단속,2023-03-08,57106531498 ,0.089,5574358,1486,일본,일본,(주)쇼박스
3,더 퍼스트 슬램덩크,2023-01-04,50057140100 ,0.078,4786406,1023,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
4,가디언즈 오브 갤럭시: Volume 3,2023-05-03,44355754061 ,0.069,4208993,1819,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
5,미션 임파서블: 데드 레코닝 PART ONE,2023-07-12,40426400113 ,0.063,4021778,2437,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
6,아바타: 물의 길,2022-12-14,47350863697 ,0.074,3491916,2809,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,오펜하이머,2023-08-15,34375467901 ,0.054,3232774,1636,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
8,슈퍼 마리오 브라더스,2023-04-26,23548177482 ,0.037,2394076,1526,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
9,그대들은 어떻게 살 것인가,2023-10-25,19540299642 ,0.031,2009401,1733,일본,일본,메가박스중앙(주)
10,존 윅 4,2023-04-12,19956652129 ,0.031,1924768,1532,미국,미국,(주)레드아이스 엔터테인먼트
11,분노의 질주: 라이드 오어 다이,2023-05-17,18474198210 ,0.029,1773424,1731,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
12,앤트맨과 와스프: 퀀텀매니아,2023-02-15,16346738806 ,0.026,1551129,2090,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
13,스파이더맨: 어크로스 더 유니버스,2023-06-21,9492413667 ,0.015,920169,1103,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
14,인디아나 존스: 운명의 다이얼,2023-06-28,8503653466 ,0.013,860424,1268,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
15,장화신은 고양이: 끝내주는 모험,2023-01-04,7872245363 ,0.012,831209,924,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
16,명탐정코난: 흑철의 어영,2023-07-20,7705318105 ,0.012,801511,1030,일본,일본,(주)씨제이이엔엠
17,트랜스포머: 비스트의 서막,2023-06-06,7786907316 ,0.012,769993,1123,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
18,극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,2023-05-04,7260611609 ,0.011,731972,844,일본,일본,(주)씨제이이엔엠
19,아쿠아맨과 로스트 킹덤,2023-12-20,7459539772 ,0.012,722976,965,미국,미국,워너브러더스 코리아(주)
