순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,모가디슈,2021-07-28,34558297730 ,0.201,3613984,1688,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
2,싱크홀,2021-08-11,21395652690 ,0.124,2195683,1603,한국,한국,(주)쇼박스
3,인질,2021-08-18,15585244870 ,0.091,1638439,1288,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
4,보이스,2021-09-15,14025546720 ,0.082,1426357,1296,한국,한국,(주)씨제이이엔엠
5,발신제한,2021-06-23,9085720540 ,0.053,952386,1010,한국,한국,(주)씨제이이엔엠
6,랑종,2021-07-14,8639576030 ,0.05,834338,1403,한국,"한국,태국",(주)쇼박스
7,유체이탈자,2021-11-24,7899580790 ,0.046,811169,1216,한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트"
8,기적,2021-09-15,6634949710 ,0.039,715877,1198,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
9,연애 빠진 로맨스,2021-11-24,6120461000 ,0.036,603015,967,한국,한국,(주)씨제이이엔엠
10,장르만 로맨스,2021-11-17,5192955940 ,0.03,518441,1194,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
11,미션 파서블,2021-02-17,4064666600 ,0.024,447111,930,한국,한국,(주)메리크리스마스
12,비와 당신의 이야기,2021-04-28,3634766350 ,0.021,398580,957,한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
13,서복,2021-04-15,3628177450 ,0.021,385409,1382,한국,한국,(주)씨제이이엔엠
14,자산어보,2021-03-31,3007565490 ,0.017,340763,1250,한국,한국,플러스엠 엔터테인먼트
15,내일의 기억,2021-04-21,3026073660 ,0.018,332993,957,한국,한국,"(주)아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)(주)"
16,강릉,2021-11-10,3172047770 ,0.018,306422,761,한국,한국,"(주)스튜디오 산타클로스엔터테인먼트,(주)아센디오,(주)제이앤씨미디어그룹"
17,방법: 재차의,2021-07-28,1542513510 ,0.009,172969,838,한국,한국,(주)씨제이이엔엠
18,새해전야,2021-02-10,1563530850 ,0.009,169789,906,한국,한국,(주)에이스메이커무비웍스
19,파이프라인,2021-05-26,1200729450 ,0.007,136680,777,한국,한국,"플러스엠 엔터테인먼트,(주)리틀빅픽쳐스"
20,더 박스,2021-03-24,951294340 ,0.006,122469,372,한국,한국,(주)씨네필운
21,해피 뉴 이어,2021-12-29,1011453370 ,0.006,114046,832,한국,한국,"(주)씨제이이엔엠,주식회사 티빙"
22,태일이,2021-12-01,929460650 ,0.005,111917,458,한국,한국,(주)리틀빅픽쳐스
23,미드나이트,2021-06-30,928954870 ,0.005,106012,693,한국,한국,씨제이 씨지브이(CJ CGV)(주)
24,여고괴담 여섯번째 이야기 : 모교,2021-06-17,858750700 ,0.005,94030,603,한국,한국,"(주)케이티알파,씨제이 씨지브이(CJ CGV)(주)"
25,귀문,2021-08-25,799806070 ,0.005,93656,692,한국,한국,"씨제이 씨지브이(CJ CGV)(주),(주)씨네필운"
26,세자매,2021-01-27,702123930 ,0.004,83275,569,한국,한국,(주)리틀빅픽쳐스
27,극장판 콩순이: 장난감나라 대모험,2021-05-05,679380620 ,0.004,77786,690,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
28,최면,2021-03-24,501754120 ,0.003,54927,506,한국,한국,(주)스마일이엔티
29,아이,2021-02-10,297568920 ,0.002,37637,504,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
