순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,스파이더맨: 노 웨이 홈,2021-12-15,55697413760 ,0.139,5560940,2948,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
2,이터널스,2021-11-03,31729284450 ,0.079,3050132,2648,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
3,블랙 위도우,2021-07-07,29993657620 ,0.075,2961902,2528,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
4,분노의 질주: 더 얼티메이트,2021-05-19,22059658060 ,0.055,2292415,2297,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
5,극장판 귀멸의 칼날: 무한열차편,2021-01-27,20656041700 ,0.051,2151861,380,일본,일본,워터홀컴퍼니(주)
6,베놈 2: 렛 데어 비 카니지,2021-10-13,21115762990 ,0.053,2123573,1998,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
7,소울,2021-01-20,19034164180 ,0.047,2048137,2018,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
8,크루엘라,2021-05-26,19252879640 ,0.048,1983397,1184,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
9,샹치와 텐 링즈의 전설,2021-09-01,17715109720 ,0.044,1740868,1784,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,듄,2021-10-20,16903293110 ,0.042,1549346,1576,미국,미국,워너브러더스 코리아(주)
11,007 노 타임 투 다이,2021-09-29,12009884680 ,0.03,1229971,2201,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
12,미나리,2021-03-03,10210620050 ,0.025,1133971,1162,미국,미국,판씨네마(주)
13,보스 베이비 2,2021-07-21,8292685050 ,0.021,925238,1343,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
14,콰이어트 플레이스 2,2021-06-16,8550116360 ,0.021,863339,1137,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
15,컨저링3: 악마가 시켰다,2021-06-03,8026047360 ,0.02,799457,1133,미국,미국,워너브러더스 코리아(주)
16,고질라 VS. 콩,2021-03-25,6772634130 ,0.017,703485,1295,미국,미국,워너브러더스 코리아(주)
17,킹스맨: 퍼스트 에이전트,2021-12-22,6154017260 ,0.015,622461,1061,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
18,엔칸토: 마법의 세계,2021-11-24,5882752180 ,0.015,620095,1102,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
19,더 수어사이드 스쿼드,2021-08-04,4403922930 ,0.011,419796,1066,미국,미국,워너브러더스 코리아(주)
20,킬러의 보디가드 2,2021-06-23,3769396180 ,0.009,384997,975,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
21,루카,2021-06-17,3393832110 ,0.008,371572,856,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
22,라야와 마지막 드래곤,2021-03-04,2975322390 ,0.007,322186,1056,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
23,프리 가이,2021-08-11,3135627670 ,0.008,313728,750,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
24,더 스파이,2021-04-28,2844155830 ,0.007,308545,710,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
25,정글 크루즈,2021-07-28,2307504720 ,0.006,251071,831,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
26,명탐정 코난: 비색의 탄환,2021-04-16,2173296640 ,0.005,230672,844,일본,일본,(주)씨제이이엔엠
27,크루즈 패밀리: 뉴 에이지,2021-05-05,2022353700 ,0.005,229950,1082,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
28,캐시트럭,2021-06-09,2157864790 ,0.005,227065,938,미국,미국,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹"
29,이스케이프 룸 2: 노 웨이 아웃,2021-07-14,2219351090 ,0.006,223313,728,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
30,"극장판 포켓몬스터: 정글의 아이, 코코",2021-09-15,1941940320 ,0.005,213913,699,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
