순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
1,어벤져스: 인피니티 워,2018-04-25,99919006769 ,0.112,11211880,2553,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
2,보헤미안 랩소디,2018-10-31,80010440345 ,0.09,9224582,936,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
3,미션 임파서블: 폴아웃,2018-07-25,55888375112 ,0.063,6584915,1957,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
4,쥬라기 월드: 폴른 킹덤,2018-06-06,49770711037 ,0.056,5661128,1972,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
5,앤트맨과 와스프,2018-07-04,47465443185 ,0.053,5447826,1775,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
6,블랙 팬서,2018-02-14,45883143457 ,0.052,5398994,1620,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
7,베놈,2018-10-03,34100211207 ,0.038,3888096,1308,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
8,데드풀 2,2018-05-16,34185664639 ,0.038,3784602,1576,미국,미국,이십세기폭스코리아(주)
9,코코,2018-01-11,27685479440 ,0.031,3510017,1177,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,아쿠아맨,2018-12-19,30454292381 ,0.034,3491857,1285,미국,"미국,호주",워너브러더스 코리아(주)
11,인크레더블 2,2018-07-18,24554683588 ,0.028,3033052,1605,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,서치,2018-08-29,25283364845 ,0.028,2949944,816,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
13,신비한 동물들과 그린델왈드의 범죄,2018-11-14,20816583118 ,0.023,2414062,1601,미국,미국,워너브러더스 코리아(주)
14,메이즈 러너: 데스 큐어,2018-01-17,18902873104 ,0.021,2299732,1090,미국,미국,이십세기폭스코리아(주)
15,맘마미아!2,2018-08-08,19607280003 ,0.022,2293836,750,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
16,레디 플레이어 원,2018-03-28,19933108071 ,0.022,2254430,1079,미국,미국,워너브러더스 코리아(주)
17,쥬만지: 새로운 세계,2018-01-03,13814824864 ,0.016,1708672,791,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
18,램페이지,2018-04-12,11951980109 ,0.013,1385511,909,미국,미국,워너브러더스 코리아(주)
19,오션스8,2018-06-13,11700157266 ,0.013,1335829,837,미국,미국,워너브러더스 코리아(주)
20,범블비,2018-12-25,9756083752 ,0.011,1167150,1016,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
21,퍼시픽 림: 업라이징,2018-03-21,8962712795 ,0.01,1077235,1145,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
22,몬스터 호텔 3,2018-08-08,7934082800 ,0.009,1072220,715,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
23,더 넌,2018-09-19,8777844795 ,0.01,1011580,824,미국,미국,워너브러더스 코리아(주)
24,스카이스크래퍼,2018-07-11,8612111718 ,0.01,1002858,831,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
25,월요일이 사라졌다,2018-02-22,7489885100 ,0.008,903175,355,영국,"영국,미국,프랑스,벨기에",(주)스마일이엔티
26,퍼스트맨,2018-10-18,6094765639 ,0.007,665364,1190,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
27,스파이더맨: 뉴 유니버스,2018-12-12,5305289076 ,0.006,639934,722,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
28,위대한 쇼맨,2017-12-20,4854850300 ,0.005,588222,702,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
29,인시디어스4: 라스트 키,2018-01-31,4301309864 ,0.005,554521,769,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
30,툼레이더,2018-03-08,4500905762 ,0.005,540410,806,미국,미국,워너브러더스 코리아(주)
31,페르디난드,2018-01-03,3854216500 ,0.004,533776,698,미국,미국,이십세기폭스코리아(주)
32,메가로돈,2018-08-15,4510731497 ,0.005,527331,601,미국,미국,워너브러더스 코리아(주)
33,콰이어트 플레이스,2018-04-12,4580889849 ,0.005,526073,677,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
34,호두까기 인형과 4개의 왕국,2018-12-06,4120048900 ,0.005,513767,294,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
35,셰이프 오브 워터: 사랑의 모양,2018-02-22,4212093600 ,0.005,506487,404,미국,미국,"이십세기폭스코리아(주),월트디즈니컴퍼니코리아 유한책임회사"
36,곰돌이 푸 다시 만나 행복해,2018-10-03,4093369860 ,0.005,492201,536,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
37,그린치,2018-12-19,3675441950 ,0.004,485064,724,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
38,스타 이즈 본,2018-10-09,4197504400 ,0.005,483852,555,미국,미국,워너브러더스 코리아(주)
39,명탐정 코난 : 제로의 집행인,2018-08-08,3014920361 ,0.003,396230,542,일본,일본,(주)씨제이이엔엠
40,피터 래빗,2018-05-16,3006258100 ,0.003,388300,599,미국,"미국,영국,호주",소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
41,패딩턴 2,2018-02-08,2554560200 ,0.003,338899,629,프랑스,"프랑스,영국",(주)이수C&E
42,미드나잇 선,2018-06-21,2679300500 ,0.003,326086,472,미국,미국,"(주)삼백상회,(주)키다리이엔티"
43,트루스 오어 데어,2018-05-22,2647330400 ,0.003,310956,530,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
44,커뮤터,2018-01-24,2286590955 ,0.003,286042,575,영국,"영국,미국",플러스엠 엔터테인먼트
45,후드,2018-11-28,2203434149 ,0.002,284601,628,미국,미국,(주)이수C&E
46,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,2148708050 ,0.002,277206,489,일본,일본,(주)씨제이이엔엠
47,모털 엔진,2018-12-05,2324362119 ,0.003,267896,661,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
48,바울,2018-10-31,2100137400 ,0.002,267785,227,미국,미국,(재)CBS
49,나를 차버린 스파이,2018-08-22,2346742100 ,0.003,264766,278,미국,미국,(주)누리픽쳐스
50,명탐정 코난:감벽의 관,2018-02-14,1800316000 ,0.002,242164,487,일본,일본,(주)씨제이이엔엠
51,아이 필 프리티,2018-06-06,2127094300 ,0.002,240297,213,미국,미국,(주)홈초이스
52,시카리오: 데이 오브 솔다도,2018-06-27,1938637400 ,0.002,229542,261,미국,미국,㈜코리아스크린
53,12 솔져스,2018-01-31,1833626400 ,0.002,223740,211,미국,미국,(주)제이앤씨미디어그룹
54,50가지 그림자: 해방,2018-02-21,1866384500 ,0.002,217785,213,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
55,벽 속에 숨은 마법시계,2018-10-31,1654715300 ,0.002,215029,609,미국,미국,CGV아트하우스
56,허리케인 하이스트,2018-03-14,1730262848 ,0.002,214949,544,미국,미국,(주)넥스트엔터테인먼트월드(NEW)
57,한 솔로: 스타워즈 스토리,2018-05-24,1964276778 ,0.002,213980,569,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
58,콜 미 바이 유어 네임,2018-03-22,1657199988 ,0.002,198229,192,이탈리아,"이탈리아,프랑스,브라질,미국","(주)디스테이션,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점"
59,나미야 잡화점의 기적,2018-02-28,1455461885 ,0.002,191880,532,일본,일본,(주)이수C&E
60,업그레이드,2018-09-06,1743757800 ,0.002,190387,220,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
61,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,2018-06-06,1394555400 ,0.002,183421,588,일본,일본,(주)이수C&E
62,극장판 도라에몽: 진구의 보물섬,2018-08-15,1373232400 ,0.002,182796,463,일본,일본,(주)이수C&E
63,원더,2017-12-27,1356054989 ,0.002,178826,183,미국,미국,"CGV아트하우스,그린나래미디어(주)"
64,유전,2018-06-07,1560899725 ,0.002,177145,422,미국,미국,(주)팝엔터테인먼트
65,더 프레데터,2018-09-12,1502022014 ,0.002,170878,582,미국,미국,이십세기폭스코리아(주)
66,어느 가족,2018-07-26,1411660900 ,0.002,170743,126,일본,일본,(주)티캐스트
67,극장판 포켓몬스터 모두의 이야기,2018-12-19,1314100400 ,0.001,169677,493,일본,일본,(주)이수C&E
68,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,2018-09-20,1205873200 ,0.001,157689,454,일본,일본,(주)씨제이이엔엠
69,크레이지 리치 아시안,2018-10-25,1333313141 ,0.001,154297,531,미국,미국,워너브러더스 코리아(주)
70,다운사이징,2018-01-11,1236582004 ,0.001,150215,511,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
71,빅샤크: 매직체인지,2018-06-27,1012286700 ,0.001,138705,414,중국,중국,와이드 릴리즈(주)
72,더 포스트,2018-02-28,1090246148 ,0.001,137841,281,미국,미국,CGV아트하우스
73,얼리맨,2018-05-03,939872000 ,0.001,122359,597,영국,영국,(주)이수C&E
74,부탁 하나만 들어줘,2018-12-12,992810788 ,0.001,115024,461,미국,미국,(주)팝엔터테인먼트
75,"안녕, 나의 소녀",2018-05-16,868321954 ,0.001,111541,155,대만,대만,오드
76,당갈,2018-04-25,906416500 ,0.001,109441,260,인도,인도,(주)넥스트엔터테인먼트월드(NEW)
77,할로윈,2018-10-31,891158713 ,0.001,108780,536,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
78,레드 스패로,2018-02-28,860743700 ,0.001,108344,389,미국,미국,이십세기폭스코리아(주)
79,레이디 버드,2018-04-04,828329700 ,0.001,101781,344,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
80,쓰리 빌보드,2018-03-15,800125700 ,0.001,97480,110,미국,미국,"이십세기폭스코리아(주),월트디즈니컴퍼니코리아 유한책임회사"
81,마야2,2018-02-01,695339700 ,0.001,96989,429,독일,독일,(주)영화사 빅
82,커다랗고 커다랗고 커다란 배,2018-05-03,747029900 ,0.001,95324,350,덴마크,덴마크,예지림엔터테인먼트
83,극장판 포켓몬스터 너로 정했다!,2017-12-21,696785800 ,0.001,94300,626,일본,일본,(주)이수C&E
84,플로리다 프로젝트,2018-03-07,787001800 ,0.001,93936,126,미국,미국,오드
85,베일리 어게인,2018-11-22,796864900 ,0.001,93691,189,미국,미국,(주)홈초이스
86,루이스,2018-09-20,729147750 ,0.001,93000,325,독일,독일,(주)스마일이엔티
87,셜록 놈즈,2018-10-03,682265200 ,0.001,91036,440,미국,미국,"(주)키다리이엔티,(주)삼백상회"
88,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,668561400 ,0.001,86295,179,미국,미국,"(주)영화사 그램,(재)CBS"
89,호텔 아르테미스,2018-07-18,646127100 ,0.001,77794,465,미국,미국,판씨네마(주)
90,올 더 머니,2018-02-01,568453500 ,0.001,70295,260,미국,미국,판씨네마(주)
91,마일22,2018-08-23,600495500 ,0.001,69834,203,미국,미국,(주)팝엔터테인먼트
92,레오나르도 다 빈치,2018-04-26,509942200 ,0.001,64405,150,이탈리아,이탈리아,(주)스마일이엔티
93,킬링 디어,2018-07-12,514920500 ,0.001,59588,68,미국,"미국,영국",오드
94,어드리프트:우리가 함께한 바다,2018-09-06,482701918 ,0.001,59009,490,미국,미국,(주)이수C&E
95,엘리엇과 산타 썰매단,2018-12-12,399032800 ,0,57579,335,캐나다,캐나다,(주)팝엔터테인먼트
96,매직빈,2018-05-03,436382700 ,0,57004,534,중국,중국,(주)영화사 빅
97,헌터 킬러,2018-12-06,464838450 ,0.001,56511,226,미국,미국,(주)키다리이엔티
98,몬스터 패밀리,2017-12-21,410001000 ,0,56019,617,독일,독일,(주)키다리이엔티
99,"부르고뉴, 와인에서 찾은 인생",2018-05-03,466538900 ,0.001,53569,55,프랑스,프랑스,(주)티캐스트
100,너의 췌장을 먹고 싶어,2018-11-15,410303605 ,0,52355,319,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
101,온리 더 브레이브,2018-03-07,390912300 ,0,49612,301,미국,미국,㈜코리아스크린
102,"스탠바이, 웬디",2018-05-30,373967080 ,0,47299,345,미국,미국,판씨네마(주)
103,나츠메 우인장: 세상과 연을 맺다,2018-10-31,387190200 ,0,46913,110,일본,일본,(주)애니플러스
104,에그엔젤 코코밍: 두근두근 핼러윈 파티,2018-09-22,367076000 ,0,46386,179,일본,일본,(주)엠제이픽쳐스
105,타샤 튜더,2018-09-13,364604850 ,0,46032,28,일본,일본,(주)마노엔터테인먼트
106,플로이,2018-08-15,329325300 ,0,44141,242,아이슬란드,"아이슬란드,벨기에",(주)스마일이엔티
107,다이노 어드벤처2: 육해공 공룡 대백과,2018-10-09,335469900 ,0,43627,322,영국,영국,(주)박수엔터테인먼트
108,아일라,2018-06-21,331882900 ,0,43612,371,터키,터키,(주)영화사 빅
109,더 포리너,2018-02-07,330263800 ,0,41054,156,영국,"영국,중국","(주)더블앤조이픽쳐스,TCO(주)더콘텐츠온"
110,이별의 아침에 약속의 꽃을 장식하자,2018-07-19,321863500 ,0,37764,121,일본,일본,(주)미디어캐슬
111,정글번치: 최강 악당의 등장,2018-04-19,292593700 ,0,37343,331,프랑스,프랑스,(주)팝엔터테인먼트
112,다키스트 아워,2018-01-17,282157800 ,0,37300,233,영국,영국,유니버설픽쳐스인터내셔널 코리아(유)
113,툴리,2018-11-22,302483000 ,0,37241,161,캐나다,캐나다,(주)리틀빅픽쳐스
114,벅스 프렌즈,2018-06-06,283664600 ,0,36905,262,중국,중국,(주)스톰픽쳐스코리아
115,반딧불이 딘딘,2018-02-22,259903900 ,0,36737,303,중국,중국,(주)박수엔터테인먼트
116,패터슨,2017-12-21,299485600 ,0,35870,62,프랑스,"프랑스,독일,미국",그린나래미디어(주)
117,"오늘 밤, 로맨스 극장에서",2018-07-11,301894900 ,0,35732,155,일본,일본,(주)디스테이션
118,펭귄 하이웨이,2018-10-18,276934100 ,0,34795,338,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
119,극장판 레이디버그: 미라클스톤의 비밀,2018-01-25,254692500 ,0,34466,305,프랑스,프랑스,(주)에스에이엠지엔터테인먼트
120,인생 후르츠,2018-12-06,262308350 ,0,34289,33,일본,일본,(주)엣나인필름
